r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 1,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Chris Lee 46-49.,Derek Cleary 47-48.,Alexander Volkanovski ,0,31 of 48,0,1 of 3,33%,0:58,27 of 44,21 of 34,2 of 4,4 of 6,14 of 27,4 of 6,Diego Lopes ,0,11 of 26,0,0 of 0,---,0:03,8 of 22,5 of 16,1 of 2,2 of 4,8 of 22,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Chris Lee 46-49.,Derek Cleary 47-48.,Alexander Volkanovski ,0,27 of 55,0,0 of 2,0%,0:20,24 of 52,18 of 42,0 of 3,6 of 7,24 of 52,0 of 0,Diego Lopes ,1,17 of 34,1,0 of 0,---,0:02,16 of 33,15 of 32,1 of 1,0 of 0,15 of 32,0 of 0
Round 3,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Chris Lee 46-49.,Derek Cleary 47-48.,Alexander Volkanovski ,0,25 of 45,0,0 of 1,0%,0:00,25 of 45,21 of 38,1 of 2,3 of 5,25 of 45,0 of 0,Diego Lopes ,0,9 of 37,0,0 of 0,---,0:00,9 of 37,7 of 33,1 of 3,1 of 1,9 of 37,0 of 0
Round 4,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Chris Lee 46-49.,Derek Cleary 47-48.,Alexander Volkanovski ,0,39 of 57,0,0 of 3,0%,0:00,39 of 57,36 of 53,2 of 2,1 of 2,39 of 57,0 of 0,Diego Lopes ,0,16 of 43,0,0 of 0,---,0:00,16 of 43,13 of 37,2 of 5,1 of 1,14 of 39,2 of 4
Round 5,Marc Goddard,Decision - Unanimous,Sal D'amato 46-49.,Chris Lee 46-49.,Derek Cleary 47-48.,Alexander Volkanovski ,0,43 of 61,0,0 of 2,0%,0:00,43 of 61,40 of 58,3 of 3,0 of 0,40 of 56,3 of 5,Diego Lopes ,0,18 of 63,0,0 of 0,---,0:00,14 of 59,9 of 53,2 of 2,3 of 4,13 of 55,1 of 4
Round 1,Andrew Glenn,Decision - Unanimous,Eliseo Rodriguez 27-30.,Junichiro Kamijo 27-30.,Sal D'amato 27-30.,Yair Rodriguez ,0,26 of 40,0,0 of 0,---,0:00,11 of 21,3 of 10,4 of 5,4 of 6,10 of 20,1 of 1,Patricio Freire ,0,5 of 12,0,0 of 1,0%,0:35,4 of 10,0 of 5,0 of 1,4 of 4,4 of 10,0 of 0
Round 2,Andrew Glenn,Decision - Unanimous,Eliseo Rodriguez 27-30.,Junichiro Kamijo 27-30.,Sal D'amato 27-30.,Yair Rodriguez ,0,25 of 52,0,1 of 1,100%,0:02,21 of 45,8 of 28,6 of 9,7 of 8,20 of 44,1 of 1,Patricio Freire ,0,8 of 26,0,1 of 3,33%,0:28,8 of 26,5 of 21,1 of 2,2 of 3,8 of 26,0 of 0
Round 3,Andrew Glenn,Decision - Unanimous,Eliseo Rodriguez 27-30.,Junichiro Kamijo 27-30.,Sal D'amato 27-30.,Yair Rodriguez ,1,46 of 65,1,0 of 0,---,1:41,38 of 56,27 of 44,8 of 9,3 of 3,13 of 25,0 of 0,Patricio Freire ,0,10 of 22,0,0 of 0,---,0:00,5 of 14,3 of 12,1 of 1,1 of 1,5 of 14,0 of 0
Round 1,Mike Beltran,Decision - Unanimous,Troy Wincapaw 27-30.,Eliseo Rodriguez 27-30.,Sal D'amato 27-30.,Yan Xiaonan ,0,31 of 50,0,0 of 0,---,0:00,6 of 17,4 of 11,2 of 4,0 of 2,5 of 16,0 of 0,Virna Jandiroba ,0,18 of 31,0,1 of 5,20%,3:03,4 of 9,4 of 9,0 of 0,0 of 0,3 of 7,0 of 1
Round 2,Mike Beltran,Decision - Unanimous,Troy Wincapaw 27-30.,Eliseo Rodriguez 27-30.,Sal D'amato 27-30.,Yan Xiaonan ,0,14 of 20,0,0 of 0,---,0:27,4 of 6,4 of 6,0 of 0,0 of 0,0 of 1,0 of 0,Virna Jandiroba ,0,40 of 51,0,1 of 1,100%,4:14,0 of 1,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0
